FORMA|KEY|SIGL
1ra|1ra|g
##|##|g
cil|cil|g
qui|qui|g
a|a|g
cuer|cuer|g
de|de|g
vassalage|vassalage|g
##|##|g
et|et|g
vuelt|vuelt|g
amer|amer|g
de|de|g
fin|fin|g
corage|corage|g
##|##|g
se|se|g
doit|doit|g
oïr|oïr|g
et|et|g
escouter|escouter|g
##|##|g
ce|ce|g
que|que|g
aymes|aymes|g
vuelt|vuelt|g
raconter|raconter|g
##|##|g
assez|assez|g
i|i|g
puet|puet|g
de|de|g
bien|bien|g
aprandre|aprandre|g
##|##|g
qui|qui|g
de|de|g
buen|buen|g
cuer|cuer|g
i|i|g
vuelt|vuelt|g
entandre|entandre|g
##|##|g
or|or|g
oëz|oëz|g
seignor|seignor|g
que|que|g
je|je|g
di|di|g
##|##|g
ayme|ayme|g
por|por|g
aliane|aliane|g
ici|ici|g
##|##|g
fist|fist|g
le|le|g
romanz|romanz|g
tant|tant|g
sagement|sagement|g
##|##|g
que|que|g
telz|telz|g
l’|l’|g
orra|orra|g
qui|qui|g
no|no|g
l’|l’|g
antent|antent|g
##|##|g
por_qoi|por_qoi|g
i|i|g
fu|fu|g
et|et|g
faiz|faiz|g
et|et|g
diz|diz|g
i|i|g
##|##|g
por|por|g
juliane|juliane|g
fu|fu|g
escriz|escriz|g
##|##|g
toz_jorz_mais|toz_jorz_mais|g
en|en|g
ert|ert|g
remenbrace|remenbrace|g
##|##|g
il|il|g
ne|ne|g
fu|fu|g
mie|mie|g
faiz|faiz|g
en|en|g
france|france|g
##|##|g
mes|mes|g
en|en|g
la|la|g
langue|langue|g
de|de|g
francois|francois|g
##|##|g
les|les|g
fit|fit|g
aymes|aymes|g
en|en|g
lyonois|lyonois|g
##|##|g
aymes|aymes|g
i|i|g
mist|mist|g
s’|s’|g
entencïon|entencïon|g
.|.|g
##|##|g
le|le|g
romanz|romanz|g
fist|fist|g
à|à|g
chastillon|chastillon|g
##|##|g
de|de|g
felipon|felipon|g
de|de|g
macedoine|macedoine|g
##|##|g
que|que|g
fu|fu|g
noriz|noriz|g
en|en|g
babiloine|babiloine|g
##|##|g
et|et|g
del|del|g
fil|fil|g
au|au|g
duc|duc|g
mataquaz|mataquaz|g
##|##|g
qui|qui|g
estoit|estoit|g
sire|sire|g
de|de|g
duraz|duraz|g
##|##|g
florimont|florimont|g
ot|ot|g
nom|nom|g
en|en|g
francois|francois|g
##|##|g
eleneos|eleneos|g
dist|dist|g
en|en|g
grezois|grezois|g
##|##|g
rois|rois|g
fu|fu|g
et|et|g
se|se|g
conquist|conquist|g
assez|assez|g
##|##|g
dirai|dirai|g
vos|vos|g
et|et|g
se|se|g
m’|m’|g
escoutez|escoutez|g
##|##|g
sor|sor|g
aselge|aselge|g
à|à|g
chastillon|chastillon|g
##|##|g
estoit|estoit|g
aymes|aymes|g
une|une|g
sayson|sayson|g
##|##|g
et|et|g
porpansa|porpansa|g
soi|soi|g
de_l’|de_l’|g
estoire|estoire|g
##|##|g
qui|qui|g
il|il|g
avoit|avoit|g
en|en|g
sa|sa|g
memoire|memoire|g
##|##|g
il|il|g
l|l|g
'|'|g
avoit|avoit|g
en|en|g
grece|grece|g
veüe|veüe|g
##|##|g
mais|mais|g
n’|n’|g
estoit|estoit|g
pas|pas|g
par_tot|par_tot|g
seüe|seüe|g
##|##|g
à|à|g
felipople|felipople|g
la|la|g
trova|trova|g
##|##|g
à|à|g
chastillon|chastillon|g
l’|l’|g
en|en|g
aporta|aporta|g
##|##|g
ensi_com|ensi_com|g
il|il|g
l’|l’|g
avoit|avoit|g
aprise|aprise|g
##|##|g
l’|l’|g
a|a|g
de|de|g
latin|latin|g
en|en|g
romanz|romanz|g
mise|mise|g
##|##|g
aymes|aymes|g
de|de|g
varenes|varenes|g
retrait|retrait|g
##|##|g
de|de|g
anciens|anciens|g
or|or|g
qu’|qu’|g
il|il|g
ont|ont|g
fait|fait|g
##|##|g
les|les|g
faiz|faiz|g
com|com|g
ce|ce|g
des|des|g
anciens|anciens|g
##|##|g
qui|qui|g
tuit|tuit|g
cil|cil|g
qui|qui|g
ont|ont|g
le|le|g
cuers|cuers|g
veins|veins|g
