FORMA|KEY|SIGL
1rb|1rb|g
##|##|g
ayent|ayent|g
de|de|g
lor|lor|g
proïce|proïce|g
envie|envie|g
##|##|g
*|*|g
p|p|g
amender|amender|g
lor|lor|g
fausse|fausse|g
vie|vie|g
##|##|g
*|*|g
p|p|g
les|les|g
anciens|anciens|g
remanbrer|remanbrer|g
##|##|g
vos|vos|g
voill|voill|g
dire|dire|g
et|et|g
raconter|raconter|g
##|##|g
ensi_com|ensi_com|g
ay|ay|g
escrit|escrit|g
trové|trové|g
##|##|g
d’|d’|g
on|on|g
estoyre|estoyre|g
la|la|g
verité|verité|g
##|##|g
à|à|g
ceuz|ceuz|g
qui|qui|g
firent|firent|g
le|le|g
biauz|biauz|g
faiz|faiz|g
##|##|g
*|*|g
p|p|g
quoi|quoi|g
li|li|g
contes|contes|g
est|est|g
retraiz|retraiz|g
##|##|g
devonsmes|devonsmes|g
nos|nos|g
toz_jorz|toz_jorz|g
entandre|entandre|g
##|##|g
car|car|g
adés|adés|g
y|y|g
puet|puet|g
om|om|g
enprandre|enprandre|g
##|##|g
que|que|g
cil|cil|g
mantenoient|mantenoient|g
onor|onor|g
##|##|g
proëce|proëce|g
et|et|g
foy|foy|g
et|et|g
amor|amor|g
##|##|g
à|à|g
cel|cel|g
tenps|tenps|g
estoit|estoit|g
amors|amors|g
vive|vive|g
##|##|g
que|que|g
or|or|g
est|est|g
morte|morte|g
et|et|g
chative|chative|g
##|##|g
de|de|g
ce|ce|g
fu|fu|g
dame|dame|g
et|et|g
roïne|roïne|g
##|##|g
or|or|g
est|est|g
avere|avere|g
et|et|g
frarine|frarine|g
##|##|g
lors|lors|g
estoit|estoit|g
d’|d’|g
onor|onor|g
coronee|coronee|g
##|##|g
or|or|g
est|est|g
*|*|g
p|p|g
covoitise|covoitise|g
tuee|tuee|g
##|##|g
non|non|g
avoit|avoit|g
pas|pas|g
enjant|enjant|g
ne|ne|g
vice|vice|g
##|##|g
or|or|g
se|se|g
muert|muert|g
car|car|g
por|por|g
avarice|avarice|g
##|##|g
or|or|g
ne|ne|g
quiert|quiert|g
pas|pas|g
amors|amors|g
noblece|noblece|g
##|##|g
des|des|g
celui|celui|g
vuel|vuel|g
qui|qui|g
a|a|g
richece|richece|g
##|##|g
ou|ou|g
soit|soit|g
gentis|gentis|g
o|o|g
soit|soit|g
valains|valains|g
##|##|g
amors|amors|g
tent|tent|g
par_trestot|par_trestot|g
les|les|g
mains|mains|g
##|##|g
[|[|g
.|.|g
.|.|g
.|.|g
]|]|g
est|est|g
vilain|vilain|g
cuvers|cuvers|g
provez|provez|g
##|##|g
sol_que|sol_que|g
[|[|g
.|.|g
.|.|g
.|.|g
]|]|g
deniers|deniers|g
assez|assez|g
##|##|g
bien|bien|g
ert|ert|g
servis|servis|g
et|et|g
receüs|receüs|g
##|##|g
mes|mes|g
il|il|g
n’|n’|g
est|est|g
*|*|g
mlt|mlt|g
tost|tost|g
deceüs|deceüs|g
##|##|g
car|car|g
il|il|g
ne|ne|g
set|set|g
ne|ne|g
il|il|g
ne|ne|g
voit|voit|g
##|##|g
coment|coment|g
li|li|g
avoirs|avoirs|g
le|le|g
decoit|decoit|g
##|##|g
quant|quant|g
le|le|g
conquiert|conquiert|g
n’|n’|g
a|a|g
joie|joie|g
vaine|vaine|g
##|##|g
et|et|g
quant|quant|g
le|le|g
pert|pert|g
dolor|dolor|g
certaine|certaine|g
##|##|g
ne|ne|g
puet|puet|g
pas|pas|g
garder|garder|g
longemant|longemant|g
##|##|g
qui|qui|g
no|no|g
·l|·l|g
perde|perde|g
qui|qui|g
nos|nos|g
despant|despant|g
##|##|g
avoirs|avoirs|g
est|est|g
perdus|perdus|g
mante|mante|g
part|part|g
##|##|g
avars|avars|g
hom|hom|g
n’|n’|g
iert|iert|g
ja|ja|g
sengart|sengart|g
##|##|g
qui|qui|g
pert|pert|g
en|en|g
terre|terre|g
et|et|g
pert|pert|g
en|en|g
mer|mer|g
##|##|g
*|*|g
p|p|g
robeörs|robeörs|g
et|et|g
*|*|g
p|p|g
enbler|enbler|g
##|##|g
*|*|g
p|p|g
mal|mal|g
seignor|seignor|g
pert|pert|g
et|et|g
*|*|g
p|p|g
guerre|guerre|g
##|##|g
quant|quant|g
muert|muert|g
pert|pert|g
l’|l’|g
avoir|avoir|g
et|et|g
la|la|g
terre|terre|g
