FORMA|KEY|SIGL
1va|1va|g
##|##|g
lors|lors|g
laisse|laisse|g
il|il|g
tost|tost|g
et|et|g
guerpist|guerpist|g
##|##|g
telz|telz|g
le|le|g
despant|despant|g
qui|qui|g
no|no|g
conquist|conquist|g
##|##|g
ne|ne|g
di|di|g
pas|pas|g
porce_que|porce_que|g
doner|doner|g
##|##|g
ne|ne|g
puet|puet|g
on|on|g
*|*|g
mlt|mlt|g
senz|senz|g
conquester|conquester|g
##|##|g
qui|qui|g
*|*|g
mlt|mlt|g
despant|despant|g
et|et|g
poi|poi|g
amasse|amasse|g
##|##|g
tot|tot|g
pert|pert|g
son|son|g
pris|pris|g
là_on|là_on|g
il|il|g
lasse|lasse|g
##|##|g
et|et|g
qui|qui|g
conquiert|conquiert|g
et|et|g
no|no|g
despant|despant|g
##|##|g
il|il|g
est|est|g
aïz|aïz|g
de|de|g
tote|tote|g
jant|jant|g
##|##|g
li|li|g
uns|uns|g
senz|senz|g
l’|l’|g
autre|autre|g
n’|n’|g
a|a|g
mestier|mestier|g
##|##|g
car|car|g
li|li|g
uns|uns|g
doit|doit|g
àl’|àl’|g
autre|autre|g
aidier|aidier|g
##|##|g
pou|pou|g
vaut|vaut|g
conquere|conquere|g
senz|senz|g
doner|doner|g
##|##|g
et|et|g
qui|qui|g
despant|despant|g
sanz|sanz|g
conquester|conquester|g
##|##|g
om|om|g
l’|l’|g
a|a|g
veï|veï|g
de|de|g
mante|mante|g
gent|gent|g
##|##|g
que|que|g
d’|d’|g
auqués|auqués|g
menent|menent|g
à|à|g
neient|neient|g
##|##|g
bons|bons|g
princes|princes|g
doit|doit|g
toz_jorz|toz_jorz|g
despandre|despandre|g
##|##|g
et|et|g
conquester|conquester|g
doner|doner|g
et|et|g
prandre|prandre|g
##|##|g
car|car|g
largece|largece|g
li|li|g
est|est|g
d’|d’|g
amor|amor|g
##|##|g
et|et|g
de|de|g
proëce|proëce|g
et|et|g
d’|d’|g
onor|onor|g
##|##|g
ensi|ensi|g
puet|puet|g
del|del|g
siegle|siegle|g
joir|joir|g
##|##|g
amor|amor|g
et|et|g
onor|onor|g
mantenir|mantenir|g
##|##|g
dont|dont|g
il|il|g
ert|ert|g
dou|dou|g
siegle|siegle|g
loëz|loëz|g
##|##|g
et|et|g
aprés|aprés|g
sa|sa|g
mort|mort|g
remenbrez|remenbrez|g
##|##|g
de|de|g
ce|ce|g
me|me|g
vueil|vueil|g
atant|atant|g
laissier|laissier|g
##|##|g
à|à|g
mon|mon|g
conte|conte|g
vueil|vueil|g
repairier|repairier|g
##|##|g
seignor|seignor|g
je|je|g
sai|sai|g
assez|assez|g
de|de|g
si|si|g
##|##|g
d’|d’|g
alixandre|alixandre|g
avez|avez|g
oï|oï|g
##|##|g
mes|mes|g
ne|ne|g
savez|savez|g
encore|encore|g
pas|pas|g
##|##|g
don|don|g
fu|fu|g
sa|sa|g
mere|mere|g
olinpias|olinpias|g
##|##|g
del|del|g
roi|roi|g
felipon|felipon|g
ne|ne|g
savez|savez|g
##|##|g
que|que|g
fu|fu|g
ses|ses|g
pere|pere|g
don|don|g
fu|fu|g
nez|nez|g
##|##|g
je|je|g
dirai|dirai|g
qui|qui|g
l’|l’|g
ai|ai|g
en|en|g
memoire|memoire|g
##|##|g
or|or|g
est|est|g
contez|contez|g
*|*|g
mlt|mlt|g
riche|riche|g
estoire|estoire|g
##|##|g
des|des|g
rois|rois|g
des|des|g
princes|princes|g
qui|qui|g
i|i|g
sont|sont|g
##|##|g
li_plus|li_plus|g
est|est|g
del|del|g
roi|roi|g
flormont|flormont|g
##|##|g
ce|ce|g
dist|dist|g
aymes|aymes|g
or|or|g
escoutez|escoutez|g
##|##|g
vos|vos|g
qui|qui|g
les|les|g
bons|bons|g
diz|diz|g
entendez|entendez|g
##|##|g
car|car|g
ci|ci|g
porront|porront|g
trover|trover|g
la|la|g
flor|flor|g
##|##|g
des|des|g
contes|contes|g
li|li|g
bon|bon|g
conteör|conteör|g
##|##|g
d’|d’|g
amor|amor|g
et|et|g
de|de|g
chevaleries|chevaleries|g
##|##|g
d’|d’|g
aventures|aventures|g
et|et|g
de|de|g
cortoisies|cortoisies|g
