FORMA|KEY|SIGL
3ra|3ra|p
##|##|p
cil|cil|p
qui|qui|p
a|a|p
cuer|cuer|p
et|et|p
vasselage|vasselage|p
##|##|p
et|et|p
welt|welt|p
amer|amer|p
de|de|p
bon|bon|p
corage|corage|p
##|##|p
il|il|p
doit|doit|p
oïr|oïr|p
et|et|p
escouter|escouter|p
##|##|p
ce|ce|p
que|que|p
aymes|aymes|p
welt|welt|p
raconter|raconter|p
##|##|p
assez|assez|p
i|i|p
puet|puet|p
de|de|p
bien|bien|p
aprendre|aprendre|p
##|##|p
qui|qui|p
de|de|p
bon|bon|p
cuer|cuer|p
i|i|p
velt|velt|p
entendre|entendre|p
##|##|p
or|or|p
oiés|oiés|p
signour|signour|p
que|que|p
ge|ge|p
dis|dis|p
##|##|p
aymes|aymes|p
pour|pour|p
amour|amour|p
aualis|aualis|p
##|##|p
fist|fist|p
le|le|p
roumans|roumans|p
si|si|p
sagement|sagement|p
##|##|p
que|que|p
tez|tez|p
l’|l’|p
orra|orra|p
qui|qui|p
ne|ne|p
l’|l’|p
entent|entent|p
##|##|p
por_quoi|por_quoi|p
il|il|p
fu|fu|p
et|et|p
fais|fais|p
et|et|p
dis|dis|p
##|##|p
por|por|p
malina|malina|p
li|li|p
dis|dis|p
fu|fu|p
dis|dis|p
##|##|p
tous_jors_mais|tous_jors_mais|p
en|en|p
iert|iert|p
ramenbrance|ramenbrance|p
##|##|p
il|il|p
ne|ne|p
fu|fu|p
mie|mie|p
fais|fais|p
en|en|p
france|france|p
##|##|p
mais|mais|p
en|en|p
la|la|p
langue|langue|p
de|de|p
francois|francois|p
##|##|p
le|le|p
fist|fist|p
aymes|aymes|p
en|en|p
lionnois|lionnois|p
##|##|p
aymes|aymes|p
i|i|p
mist|mist|p
s’|s’|p
ententïon|ententïon|p
##|##|p
le|le|p
roumans|roumans|p
fist|fist|p
à|à|p
chastillon|chastillon|p
##|##|p
de|de|p
phellipon|phellipon|p
de|de|p
macedoine|macedoine|p
##|##|p
qui|qui|p
fu|fu|p
norris|norris|p
em|em|p
babiloine|babiloine|p
##|##|p
et|et|p
dou|dou|p
fil|fil|p
le|le|p
duc|duc|p
mataquas|mataquas|p
##|##|p
qui|qui|p
estoit|estoit|p
sires|sires|p
de|de|p
duras|duras|p
##|##|p
florimont|florimont|p
ot|ot|p
non|non|p
en|en|p
francois|francois|p
##|##|p
et|et|p
oulineos|oulineos|p
en|en|p
grijois|grijois|p
##|##|p
rois|rois|p
fu|fu|p
et|et|p
si|si|p
conquist|conquist|p
assez|assez|p
##|##|p
dirai|dirai|p
vous|vous|p
en|en|p
se|se|p
m’|m’|p
escoutez|escoutez|p
##|##|p
de_sor|de_sor|p
saine|saine|p
à|à|p
chastillon|chastillon|p
##|##|p
estoit|estoit|p
aymes|aymes|p
une|une|p
saison|saison|p
##|##|p
si|si|p
se|se|p
porpensa|porpensa|p
del’|del’|p
estoire|estoire|p
##|##|p
que|que|p
il|il|p
avoit|avoit|p
en|en|p
son|son|p
mimoire|mimoire|p
##|##|p
il|il|p
l’|l’|p
avoit|avoit|p
en|en|p
grece|grece|p
veüe|veüe|p
##|##|p
mais|mais|p
n’|n’|p
estoit|estoit|p
pas|pas|p
partout|partout|p
seüe|seüe|p
