FORMA|KEY|SIGL
3rb|3rb|p
##|##|p
à|à|p
phellipople|phellipople|p
la|la|p
trouva|trouva|p
##|##|p
à|à|p
chastillons|chastillons|p
l’|l’|p
en|en|p
aporta|aporta|p
##|##|p
ensis_comme|ensis_comme|p
il|il|p
l’|l’|p
avoit|avoit|p
aprise|aprise|p
##|##|p
l’|l’|p
a|a|p
dou|dou|p
roumans|roumans|p
fait|fait|p
*|*|p
p|p|p
devise|devise|p
##|##|p
aymes|aymes|p
de|de|p
varennes|varennes|p
retrait|retrait|p
##|##|p
des|des|p
anciens|anciens|p
ce|ce|p
qu’|qu’|p
il|il|p
ont|ont|p
fait|fait|p
##|##|p
les|les|p
fais|fais|p
conte|conte|p
des|des|p
anciens|anciens|p
##|##|p
que|que|p
tout|tout|p
cil|cil|p
qui|qui|p
ont|ont|p
les|les|p
cuers|cuers|p
lens|lens|p
##|##|p
aient|aient|p
de|de|p
lor|lor|p
prouese|prouese|p
envie|envie|p
##|##|p
pour|pour|p
amender|amender|p
lor|lor|p
fausse|fausse|p
vie|vie|p
##|##|p
pour|pour|p
les|les|p
anciens|anciens|p
ramembrer|ramembrer|p
##|##|p
vous|vous|p
wel|wel|p
dire|dire|p
et|et|p
riconter|riconter|p
##|##|p
si_comme|si_comme|p
en|en|p
escript|escript|p
ai|ai|p
trouvé|trouvé|p
##|##|p
d’|d’|p
une|une|p
estoire|estoire|p
la|la|p
verté|verté|p
##|##|p
de|de|p
ciaus|ciaus|p
qui|qui|p
firent|firent|p
les|les|p
bons|bons|p
fais|fais|p
##|##|p
de|de|p
quoi|quoi|p
cis|cis|p
roumans|roumans|p
est|est|p
ci|ci|p
fais|fais|p
##|##|p
devonsme|devonsme|p
nous|nous|p
adés|adés|p
entendre|entendre|p
##|##|p
car|car|p
tous_dis|tous_dis|p
i|i|p
puet|puet|p
on|on|p
aprendre|aprendre|p
##|##|p
[|[|p
.|.|p
.|.|p
.|.|p
]|]|p
maintenoient|maintenoient|p
hounours|hounours|p
##|##|p
[|[|p
.|.|p
.|.|p
.|.|p
]|]|p
prouesces|prouesces|p
fois|fois|p
et|et|p
amours|amours|p
##|##|p
à|à|p
cel|cel|p
tens|tens|p
estoit|estoit|p
amours|amours|p
vive|vive|p
##|##|p
qui|qui|p
or|or|p
est|est|p
morte|morte|p
et|et|p
chative|chative|p
##|##|p
de|de|p
joie|joie|p
fu|fu|p
dame|dame|p
et|et|p
roïne|roïne|p
##|##|p
et|et|p
or|or|p
est|est|p
morte|morte|p
et|et|p
chaitive|chaitive|p
##|##|p
lors|lors|p
estoit|estoit|p
d’|d’|p
ounour|ounour|p
coronnee|coronnee|p
##|##|p
or|or|p
est|est|p
d’|d’|p
avarice|avarice|p
tuee|tuee|p
##|##|p
lors|lors|p
n’|n’|p
avoit|avoit|p
pas|pas|p
engien|engien|p
ne|ne|p
vice|vice|p
##|##|p
mais|mais|p
or|or|p
se|se|p
muert|muert|p
par|par|p
avarice|avarice|p
##|##|p
or|or|p
ne|ne|p
welt|welt|p
pas|pas|p
amors|amors|p
noblesce|noblesce|p
##|##|p
mais|mais|p
cellui|cellui|p
welt|welt|p
qui|qui|p
a|a|p
richesce|richesce|p
##|##|p
ou|ou|p
soit|soit|p
gentis|gentis|p
ou|ou|p
soit|soit|p
vilains|vilains|p
##|##|p
amours|amours|p
tent|tent|p
par|par|p
tout|tout|p
luis|luis|p
ses|ses|p
mains|mains|p
##|##|p
s|s|p
'|'|p
il|il|p
ert|ert|p
cuvers|cuvers|p
vilains|vilains|p
provez|provez|p
##|##|p
mais|mais|p
que|que|p
il|il|p
ait|ait|p
avoir|avoir|p
assez|assez|p
##|##|p
bien|bien|p
iert|iert|p
servis|servis|p
et|et|p
retenus|retenus|p
##|##|p
mais|mais|p
il|il|p
iert|iert|p
*|*|p
mlt|mlt|p
tos|tos|p
decheüs|decheüs|p
##|##|p
car|car|p
il|il|p
ne|ne|p
scet|scet|p
ne|ne|p
il|il|p
ne|ne|p
voit|voit|p
##|##|p
comment|comment|p
li|li|p
amours|amours|p
le|le|p
decoit|decoit|p
##|##|p
quant|quant|p
la|la|p
conquiert|conquiert|p
sa|sa|p
joi|joi|p
plainne|plainne|p
##|##|p
et|et|p
quant|quant|p
la|la|p
pert|pert|p
travail|travail|p
et|et|p
painne|painne|p
##|##|p
ne|ne|p
la|la|p
puet|puet|p
garder|garder|p
longement|longement|p
##|##|p
que|que|p
ne|ne|p
·l|·l|p
perde|perde|p
que|que|p
ne|ne|p
·l|·l|p
despent|despent|p
##|##|p
aveirs|aveirs|p
se|se|p
pert|pert|p
e|e|p
·mainte|·mainte|p
part|part|p
##|##|p
aveirs|aveirs|p
hon|hon|p
n’|n’|p
iert|iert|p
ja|ja|p
fors|fors|p
renart|renart|p
##|##|p
qui|qui|p
·l|·l|p
pert|pert|p
en|en|p
terre|terre|p
il|il|p
pert|pert|p
en|en|p
mer|mer|p
##|##|p
par|par|p
robeours|robeours|p
et|et|p
par|par|p
embler|embler|p
##|##|p
par|par|p
mal|mal|p
signour|signour|p
pert|pert|p
et|et|p
par|par|p
guerre|guerre|p
##|##|p
quant|quant|p
muert|muert|p
l’|l’|p
avoir|avoir|p
pert|pert|p
et|et|p
la|la|p
terre|terre|p
