FORMA|KEY|SIGL
3rc|3rc|p
##|##|p
lors|lors|p
le|le|p
lait|lait|p
il|il|p
tout|tout|p
et|et|p
guerpist|guerpist|p
##|##|p
teiz|teiz|p
le|le|p
despent|despent|p
qui|qui|p
ne|ne|p
·l|·l|p
conquist|conquist|p
##|##|p
ne|ne|p
·l|·l|p
di|di|p
pas|pas|p
porce_que|porce_que|p
dener|dener|p
##|##|p
ne|ne|p
puet|puet|p
on|on|p
pas|pas|p
sans|sans|p
conquester|conquester|p
##|##|p
qui|qui|p
*|*|p
mlt|mlt|p
despent|despent|p
et|et|p
peu|peu|p
amasse|amasse|p
##|##|p
tost|tost|p
pert|pert|p
son|son|p
pris|pris|p
là_où|là_où|p
il|il|p
lasse|lasse|p
##|##|p
et|et|p
qui|qui|p
conquiert|conquiert|p
et|et|p
ne|ne|p
despent|despent|p
##|##|p
il|il|p
est|est|p
haïs|haïs|p
de|de|p
mainte|mainte|p
gent|gent|p
##|##|p
li|li|p
uns|uns|p
sans|sans|p
l’|l’|p
autre|autre|p
n’|n’|p
a|a|p
mestier|mestier|p
##|##|p
mais|mais|p
li|li|p
uns|uns|p
doit|doit|p
àl’|àl’|p
autre|autre|p
aidier|aidier|p
##|##|p
pau|pau|p
vaut|vaut|p
despendre|despendre|p
sans|sans|p
dener|dener|p
##|##|p
et|et|p
qui|qui|p
despent|despent|p
sans|sans|p
conquester|conquester|p
##|##|p
on|on|p
l’|l’|p
a|a|p
veüt|veüt|p
de|de|p
mainte|mainte|p
gent|gent|p
##|##|p
que|que|p
d’|d’|p
auqués|auqués|p
viennent|viennent|p
à|à|p
neent|neent|p
##|##|p
bons|bons|p
princes|princes|p
doit|doit|p
assez|assez|p
despendre|despendre|p
##|##|p
et|et|p
conquester|conquester|p
dener|dener|p
et|et|p
prendre|prendre|p
##|##|p
quar|quar|p
largece|largece|p
est|est|p
dame|dame|p
d’|d’|p
ounour|ounour|p
##|##|p
et|et|p
de|de|p
prouesce|prouesce|p
et|et|p
de|de|p
valour|valour|p
##|##|p
ensis|ensis|p
puet|puet|p
dou|dou|p
siecle|siecle|p
joïr|joïr|p
##|##|p
amours|amours|p
et|et|p
hounors|hounors|p
maintenir|maintenir|p
##|##|p
dont|dont|p
il|il|p
iert|iert|p
dou|dou|p
siecle|siecle|p
loëz|loëz|p
##|##|p
et|et|p
aprés|aprés|p
sa|sa|p
mort|mort|p
ramembrez|ramembrez|p
##|##|p
de|de|p
ce|ce|p
me|me|p
wel|wel|p
atant|atant|p
laissier|laissier|p
##|##|p
et|et|p
à|à|p
mon|mon|p
conte|conte|p
repairier|repairier|p
##|##|p
signor|signor|p
je|je|p
sai|sai|p
assez|assez|p
de_fit|de_fit|p
##|##|p
que|que|p
d’|d’|p
alixandre|alixandre|p
avez|avez|p
oït|oït|p
##|##|p
mais|mais|p
ne|ne|p
savez|savez|p
encore|encore|p
pas|pas|p
##|##|p
dont|dont|p
fu|fu|p
sa|sa|p
mere|mere|p
olimpias|olimpias|p
##|##|p
dou|dou|p
roi|roi|p
phellipon|phellipon|p
ne|ne|p
savez|savez|p
##|##|p
qu’|qu’|p
est|est|p
ses|ses|p
peres|peres|p
ne|ne|p
dont|dont|p
fu|fu|p
nez|nez|p
##|##|p
ge|ge|p
·l|·l|p
dirai|dirai|p
qui|qui|p
l’|l’|p
ai|ai|p
en|en|p
mimoire|mimoire|p
##|##|p
or|or|p
escoutez|escoutez|p
*|*|p
mlt|mlt|p
riche|riche|p
estoire|estoire|p
##|##|p
des|des|p
rois|rois|p
des|des|p
princes|princes|p
qui|qui|p
il|il|p
sont|sont|p
##|##|p
liplus|liplus|p
est|est|p
dou|dou|p
roi|roi|p
florimont|florimont|p
##|##|p
ce|ce|p
dist|dist|p
aymes|aymes|p
or|or|p
escoutez|escoutez|p
##|##|p
vous|vous|p
qui|qui|p
les|les|p
bons|bons|p
dis|dis|p
entendez|entendez|p
##|##|p
quar|quar|p
ci|ci|p
porront|porront|p
trover|trover|p
la|la|p
flour|flour|p
##|##|p
deuz|deuz|p
contes|contes|p
li|li|p
bon|bon|p
conteour|conteour|p
##|##|p
d’|d’|p
amours|amours|p
et|et|p
de|de|p
chevallerie|chevallerie|p
##|##|p
d’|d’|p
aventure|aventure|p
et|et|p
de|de|p
courtoisie|courtoisie|p
##|##|p
et|et|p
de|de|p
largesce|largesce|p
et|et|p
d’|d’|p
ounour|ounour|p
##|##|p
or|or|p
faites|faites|p
pais|pais|p
oiés|oiés|p
signour|signour|p
