FORMA|KEY|SIGL
1ra|1ra|h
##|##|h
cel|cel|h
qui|qui|h
a|a|h
cuer|cuer|h
de|de|h
vasalage|vasalage|h
##|##|h
et|et|h
veut|veut|h
amer|amer|h
de|de|h
fin|fin|h
corage|corage|h
##|##|h
si|si|h
doit|doit|h
hoïr|hoïr|h
et|et|h
escouter|escouter|h
##|##|h
ce|ce|h
que|que|h
aymes|aymes|h
veut|veut|h
reconter|reconter|h
##|##|h
asez|asez|h
i|i|h
puet|puet|h
de|de|h
bien|bien|h
aprandre|aprandre|h
##|##|h
si|si|h
de|de|h
bon|bon|h
cuer|cuer|h
i|i|h
veut|veut|h
entandre|entandre|h
##|##|h
segnor|segnor|h
or|or|h
hoiez|hoiez|h
que|que|h
je|je|h
di|di|h
##|##|h
aymes|aymes|h
por|por|h
amor|amor|h
que|que|h
ot|ot|h
en|en|h
li|li|h
##|##|h
fit|fit|h
le|le|h
romanz|romanz|h
tant|tant|h
sagemant|sagemant|h
##|##|h
que|que|h
teuz|teuz|h
l’|l’|h
ora|ora|h
qui|qui|h
ne|ne|h
l’|l’|h
entent|entent|h
##|##|h
por_quoi|por_quoi|h
il|il|h
fu|fu|h
et|et|h
faiz|faiz|h
et|et|h
diz|diz|h
##|##|h
por|por|h
juliaine|juliaine|h
fu|fu|h
escriz|escriz|h
##|##|h
toz_jorz_mais|toz_jorz_mais|h
en|en|h
iert|iert|h
remenbrance|remenbrance|h
##|##|h
il|il|h
ne|ne|h
fu|fu|h
mie|mie|h
faiz|faiz|h
en|en|h
france|france|h
##|##|h
mais|mais|h
en|en|h
la|la|h
lengue|lengue|h
deuz|deuz|h
francois|francois|h
##|##|h
le|le|h
fit|fit|h
aymes|aymes|h
en|en|h
leonois|leonois|h
##|##|h
aymes|aymes|h
i|i|h
mit|mit|h
s’|s’|h
entencïon|entencïon|h
##|##|h
le|le|h
romanz|romanz|h
fit|fit|h
à|à|h
chastellon|chastellon|h
##|##|h
de|de|h
felipon|felipon|h
de|de|h
macedoine|macedoine|h
##|##|h
qui|qui|h
fu|fu|h
noriz|noriz|h
en|en|h
babiloine|babiloine|h
##|##|h
et|et|h
del|del|h
fil|fil|h
al|al|h
duc|duc|h
matequaz|matequaz|h
##|##|h
qui|qui|h
estoit|estoit|h
sire|sire|h
de|de|h
duraz|duraz|h
##|##|h
florimont|florimont|h
ot|ot|h
no|no|h
*|*|h
m|m|h
en|en|h
francois|francois|h
##|##|h
eleneos|eleneos|h
dist|dist|h
en|en|h
grezeois|grezeois|h
##|##|h
rois|rois|h
fu|fu|h
et|et|h
si|si|h
conquist|conquist|h
asez|asez|h
##|##|h
dirai|dirai|h
vos|vos|h
en|en|h
si|si|h
me|me|h
escutez|escutez|h
##|##|h
sor|sor|h
aselgue|aselgue|h
à|à|h
chastellon|chastellon|h
##|##|h
estoit|estoit|h
aymes|aymes|h
une|une|h
saison|saison|h
##|##|h
et|et|h
porpensa|porpensa|h
soi|soi|h
de_l’|de_l’|h
estoire|estoire|h
##|##|h
que|que|h
il|il|h
avoit|avoit|h
en|en|h
sa|sa|h
memoire|memoire|h
##|##|h
il|il|h
l’|l’|h
avoit|avoit|h
en|en|h
greze|greze|h
veüe|veüe|h
##|##|h
mais|mais|h
n’|n’|h
estoit|estoit|h
pas|pas|h
par_tot|par_tot|h
saüe|saüe|h
##|##|h
à|à|h
felipople|felipople|h
la|la|h
trova|trova|h
##|##|h
à|à|h
chastellon|chastellon|h
l’|l’|h
en|en|h
aporta|aporta|h
##|##|h
ainsi_con|ainsi_con|h
il|il|h
l’|l’|h
avoit|avoit|h
enprise|enprise|h
##|##|h
l’|l’|h
a|a|h
de|de|h
latin|latin|h
en|en|h
romanz|romanz|h
mise|mise|h
##|##|h
aymes|aymes|h
de|de|h
varenes|varenes|h
retrait|retrait|h
##|##|h
des|des|h
ancieins|ancieins|h
ce|ce|h
qu’|qu’|h
il|il|h
ont|ont|h
fait|fait|h
