FORMA|KEY|SIGL
1rb|1rb|h
##|##|h
le|le|h
fait|fait|h
conte|conte|h
des|des|h
ancieins|ancieins|h
##|##|h
que|que|h
tuit|tuit|h
cil|cil|h
qui|qui|h
ont|ont|h
les|les|h
cuers|cuers|h
vains|vains|h
##|##|h
aient|aient|h
de|de|h
lor|lor|h
proëce|proëce|h
envie|envie|h
##|##|h
por|por|h
emender|emender|h
lor|lor|h
fause|fause|h
vie|vie|h
##|##|h
por|por|h
les|les|h
ancieins|ancieins|h
remenbrer|remenbrer|h
##|##|h
vos|vos|h
veil|veil|h
dire|dire|h
et|et|h
reconter|reconter|h
##|##|h
si_con|si_con|h
j’|j’|h
ai|ai|h
en|en|h
escrit|escrit|h
trové|trové|h
##|##|h
d’|d’|h
une|une|h
estoire|estoire|h
la|la|h
verité|verité|h
##|##|h
à|à|h
ceuz|ceuz|h
qui|qui|h
firont|firont|h
les|les|h
bons|bons|h
faz|faz|h
##|##|h
por|por|h
coi|coi|h
li|li|h
conte|conte|h
sont|sont|h
retraiz|retraiz|h
##|##|h
devomes|devomes|h
nos|nos|h
toz_jorz|toz_jorz|h
antandre|antandre|h
##|##|h
quar|quar|h
adés|adés|h
i|i|h
puet|puet|h
on|on|h
aprandre|aprandre|h
##|##|h
que|que|h
cil|cil|h
mantenoient|mantenoient|h
honor|honor|h
##|##|h
proëce|proëce|h
et|et|h
foi|foi|h
et|et|h
amor|amor|h
##|##|h
à|à|h
cel|cel|h
tens|tens|h
estoit|estoit|h
amors|amors|h
vive|vive|h
##|##|h
qui|qui|h
or|or|h
est|est|h
morte|morte|h
et|et|h
chaitive|chaitive|h
##|##|h
de|de|h
joie|joie|h
fu|fu|h
dame|dame|h
et|et|h
roïne|roïne|h
##|##|h
or|or|h
est|est|h
avare|avare|h
et|et|h
frarine|frarine|h
##|##|h
non|non|h
avoit|avoit|h
pas|pas|h
enjan|enjan|h
ne|ne|h
vice|vice|h
##|##|h
mais|mais|h
or|or|h
se|se|h
muert|muert|h
por|por|h
avarice|avarice|h
##|##|h
or|or|h
ne|ne|h
veut|veut|h
pas|pas|h
amors|amors|h
noblece|noblece|h
##|##|h
mais|mais|h
celui|celui|h
veut|veut|h
qui|qui|h
a|a|h
richece|richece|h
##|##|h
ou|ou|h
soit|soit|h
gentiuz|gentiuz|h
ou|ou|h
soit|soit|h
vilains|vilains|h
##|##|h
amors|amors|h
tent|tent|h
par|par|h
toz|toz|h
leus|leus|h
se|se|h
mains|mains|h
##|##|h
s’|s’|h
il|il|h
est|est|h
vilains|vilains|h
culverz|culverz|h
provez|provez|h
##|##|h
sol_que|sol_que|h
il|il|h
ait|ait|h
d’|d’|h
avoir|avoir|h
asez|asez|h
##|##|h
bien|bien|h
ert|ert|h
serviz|serviz|h
et|et|h
receüz|receüz|h
##|##|h
mais|mais|h
il|il|h
n’|n’|h
est|est|h
mout|mout|h
de|de|h
deceüz|deceüz|h
##|##|h
quar|quar|h
il|il|h
ne|ne|h
set|set|h
ne|ne|h
il|il|h
ne|ne|h
voit|voit|h
##|##|h
coment|coment|h
li|li|h
avoirs|avoirs|h
le|le|h
decoit|decoit|h
##|##|h
quant|quant|h
lo|lo|h
conquiert|conquiert|h
n’|n’|h
a|a|h
joie|joie|h
vaine|vaine|h
##|##|h
et|et|h
quant|quant|h
lo|lo|h
pert|pert|h
dolor|dolor|h
certaine|certaine|h
##|##|h
ne|ne|h
·l|·l|h
puet|puet|h
pas|pas|h
garder|garder|h
logemant|logemant|h
##|##|h
que|que|h
ne|ne|h
·l|·l|h
perde|perde|h
s’|s’|h
il|il|h
ne|ne|h
·l|·l|h
despant|despant|h
##|##|h
avoirs|avoirs|h
est|est|h
perduz|perduz|h
maintes|maintes|h
parz|parz|h
##|##|h
avairs|avairs|h
hon|hon|h
n’|n’|h
ert|ert|h
ja|ja|h
senz|senz|h
reguart|reguart|h
##|##|h
qui|qui|h
·l|·l|h
pert|pert|h
en|en|h
terre|terre|h
et|et|h
pert|pert|h
en|en|h
mer|mer|h
##|##|h
por|por|h
robëors|robëors|h
et|et|h
por|por|h
enbler|enbler|h
