FORMA|KEY|SIGL
1va|1va|h
##|##|h
por|por|h
mal|mal|h
segnor|segnor|h
pert|pert|h
et|et|h
por|por|h
guera|guera|h
##|##|h
quant|quant|h
muert|muert|h
pert|pert|h
l’|l’|h
avoir|avoir|h
et|et|h
la|la|h
terra|terra|h
##|##|h
lors|lors|h
lait|lait|h
il|il|h
treitot|treitot|h
et|et|h
grepit|grepit|h
##|##|h
teuz|teuz|h
le|le|h
despent|despent|h
qui|qui|h
ne|ne|h
·l|·l|h
conquist|conquist|h
##|##|h
ne|ne|h
·l|·l|h
di|di|h
pas|pas|h
porce_que|porce_que|h
doner|doner|h
##|##|h
ne|ne|h
puet|puet|h
on|on|h
pas|pas|h
senz|senz|h
conquester|conquester|h
##|##|h
qui|qui|h
mout|mout|h
despent|despent|h
et|et|h
poi|poi|h
amase|amase|h
##|##|h
tot|tot|h
pert|pert|h
son|son|h
pris|pris|h
lai_ont|lai_ont|h
il|il|h
laise|laise|h
##|##|h
et|et|h
qui|qui|h
conquiert|conquiert|h
et|et|h
no|no|h
despent|despent|h
##|##|h
il|il|h
est|est|h
aïz|aïz|h
de|de|h
mainte|mainte|h
jant|jant|h
##|##|h
li|li|h
uns|uns|h
senz|senz|h
l’|l’|h
autre|autre|h
n’|n’|h
a|a|h
mestier|mestier|h
##|##|h
quar|quar|h
li|li|h
uns|uns|h
doit|doit|h
àl’|àl’|h
autre|autre|h
aidier|aidier|h
##|##|h
poi|poi|h
vaut|vaut|h
conquere|conquere|h
senz|senz|h
doner|doner|h
##|##|h
et|et|h
qui|qui|h
despent|despent|h
senz|senz|h
conquester|conquester|h
##|##|h
hon|hon|h
l’|l’|h
a|a|h
veü|veü|h
de|de|h
mainte|mainte|h
jant|jant|h
##|##|h
qui|qui|h
d’|d’|h
auqués|auqués|h
vienent|vienent|h
à|à|h
noient|noient|h
##|##|h
bons|bons|h
princes|princes|h
doit|doit|h
toz_jorz|toz_jorz|h
despandre|despandre|h
##|##|h
et|et|h
conquester|conquester|h
doner|doner|h
et|et|h
prandre|prandre|h
##|##|h
quar|quar|h
largece|largece|h
est|est|h
mere|mere|h
d’|d’|h
amor|amor|h
##|##|h
et|et|h
de|de|h
prohece|prohece|h
et|et|h
de|de|h
honor|honor|h
##|##|h
ainsi|ainsi|h
puet|puet|h
del|del|h
segle|segle|h
joïr|joïr|h
##|##|h
amor|amor|h
et|et|h
henor|henor|h
maintenir|maintenir|h
##|##|h
dont|dont|h
il|il|h
ert|ert|h
del|del|h
segle|segle|h
loëz|loëz|h
##|##|h
et|et|h
aprés|aprés|h
sa|sa|h
mort|mort|h
remenbrez|remenbrez|h
##|##|h
de|de|h
ce|ce|h
me|me|h
doi|doi|h
atant|atant|h
laisier|laisier|h
##|##|h
à|à|h
mon|mon|h
conte|conte|h
doi|doi|h
repairier|repairier|h
##|##|h
segnor|segnor|h
je|je|h
·l|·l|h
sai|sai|h
assez|assez|h
de_fi|de_fi|h
##|##|h
que|que|h
d’|d’|h
alixandre|alixandre|h
avez|avez|h
hoï|hoï|h
##|##|h
mais|mais|h
ne|ne|h
savez|savez|h
encores|encores|h
pas|pas|h
##|##|h
dont|dont|h
fu|fu|h
sa|sa|h
mere|mere|h
olinpias|olinpias|h
##|##|h
je|je|h
·l|·l|h
dirai|dirai|h
qui|qui|h
l’|l’|h
ai|ai|h
en|en|h
memoire|memoire|h
##|##|h
or|or|h
escustez|escustez|h
mout|mout|h
riche|riche|h
estoire|estoire|h
##|##|h
deuz|deuz|h
rois|rois|h
des|des|h
princes|princes|h
qui|qui|h
i|i|h
sont|sont|h
##|##|h
li_pluis|li_pluis|h
est|est|h
del|del|h
roi|roi|h
floremont|floremont|h
##|##|h
ce|ce|h
dist|dist|h
aymes|aymes|h
or|or|h
escoutez|escoutez|h
##|##|h
vos|vos|h
qui|qui|h
les|les|h
bons|bons|h
diz|diz|h
entendez|entendez|h
##|##|h
quar|quar|h
ci|ci|h
poront|poront|h
trover|trover|h
la|la|h
flor|flor|h
##|##|h
deuz|deuz|h
contes|contes|h
li|li|h
bon|bon|h
conteör|conteör|h
