FORMA|KEY|SIGL
1v|1v|v
##|##|v
desseure|desseure|v
saine|saine|v
à|à|v
chastillon|chastillon|v
##|##|v
estoit|estoit|v
aimes|aimes|v
une|une|v
saison|saison|v
##|##|v
florimont|florimont|v
ot|ot|v
nom|nom|v
en|en|v
francois|francois|v
##|##|v
eleneos|eleneos|v
car|car|v
ce|ce|v
fust|fust|v
drois|drois|v
##|##|v
et|et|v
pource|pource|v
dire|dire|v
vous|vous|v
voulons|voulons|v
##|##|v
le|le|v
roumant|roumant|v
que|que|v
moult|moult|v
bien|bien|v
savons|savons|v
##|##|v
aimes|aimes|v
ung|ung|v
jour|jour|v
se|se|v
porpensa|porpensa|v
##|##|v
de_seure|de_seure|v
saine|saine|v
où|où|v
il|il|v
esta|esta|v
##|##|v
là|là|v
se|se|v
pourpensa|pourpensa|v
de_l’|de_l’|v
istoire|istoire|v
##|##|v
qu’|qu’|v
il|il|v
avoit|avoit|v
en|en|v
sa|sa|v
memoire|memoire|v
##|##|v
i|i|v
·l|·l|v
avoit|avoit|v
en|en|v
grece|grece|v
veüe|veüe|v
##|##|v
mais|mais|v
n’|n’|v
estoit|estoit|v
pas|pas|v
par_tout|par_tout|v
sceüe|sceüe|v
##|##|v
à|à|v
phellipople|phellipople|v
le|le|v
trouva|trouva|v
##|##|v
à|à|v
chastillon|chastillon|v
l’|l’|v
en|en|v
apporta|apporta|v
##|##|v
ainsi_comme|ainsi_comme|v
i|i|v
·l|·l|v
avoit|avoit|v
apprise|apprise|v
##|##|v
l’|l’|v
a|a|v
du|du|v
latin|latin|v
en|en|v
rouman|rouman|v
mise|mise|v
##|##|v
aimes|aimes|v
de|de|v
vharenne|vharenne|v
retrait|retrait|v
##|##|v
des|des|v
anciens|anciens|v
ce|ce|v
qu’|qu’|v
il|il|v
ot|ot|v
fait|fait|v
##|##|v
les|les|v
bons|bons|v
contes|contes|v
des|des|v
anciens|anciens|v
##|##|v
que|que|v
tous|tous|v
cilz|cilz|v
qui|qui|v
ont|ont|v
les|les|v
cuers|cuers|v
vains|vains|v
##|##|v
ayent|ayent|v
de|de|v
leur|leur|v
proësse|proësse|v
envie|envie|v
##|##|v
pour|pour|v
amender|amender|v
leur|leur|v
male|male|v
vie|vie|v
##|##|v
pour|pour|v
les|les|v
anciens|anciens|v
remembrer|remembrer|v
##|##|v
vous|vous|v
veulx|veulx|v
je|je|v
dire|dire|v
et|et|v
racompter|racompter|v
##|##|v
si_com|si_com|v
j’|j’|v
ay|ay|v
en|en|v
escript|escript|v
trouvé|trouvé|v
##|##|v
d’|d’|v
une|une|v
hystoyre|hystoyre|v
la|la|v
verité|verité|v
##|##|v
à|à|v
ceulx|ceulx|v
qui|qui|v
firent|firent|v
le|le|v
bien|bien|v
fai|fai|v
