FORMA|KEY|SIGL
2r|2r|v
##|##|v
pour|pour|v
qui|qui|v
ly|ly|v
contes|contes|v
sont|sont|v
retrait|retrait|v
##|##|v
devons|devons|v
nos|nos|v
tousjours|tousjours|v
entendre|entendre|v
##|##|v
car|car|v
adés|adés|v
y|y|v
peult|peult|v
on|on|v
apprendre|apprendre|v
##|##|v
ceulx|ceulx|v
qui|qui|v
maintenoient|maintenoient|v
amour|amour|v
##|##|v
et|et|v
foy|foy|v
et|et|v
prouesse|prouesse|v
et|et|v
honnour|honnour|v
##|##|v
à|à|v
cest|cest|v
temps|temps|v
estoit|estoit|v
amour|amour|v
vive|vive|v
##|##|v
qui|qui|v
ore|ore|v
est|est|v
morte|morte|v
et|et|v
caitive|caitive|v
##|##|v
de|de|v
joye|joye|v
estoit|estoit|v
dame|dame|v
et|et|v
roÿne|roÿne|v
##|##|v
ore|ore|v
est|est|v
aversse|aversse|v
et|et|v
c’|c’|v
est|est|v
frarine|frarine|v
##|##|v
lors|lors|v
estoit|estoit|v
d’|d’|v
onneur|onneur|v
couronnee|couronnee|v
##|##|v
par|par|v
convoitise|convoitise|v
est|est|v
ore|ore|v
finee|finee|v
##|##|v
n’|n’|v
y|y|v
avoit|avoit|v
pas|pas|v
enging|enging|v
ne|ne|v
vice|vice|v
##|##|v
mais|mais|v
or|or|v
ce|ce|v
meurt|meurt|v
par|par|v
avarice|avarice|v
##|##|v
or|or|v
ne|ne|v
quiert|quiert|v
pas|pas|v
amor|amor|v
noblesse|noblesse|v
##|##|v
mais|mais|v
cellui|cellui|v
veult|veult|v
qui|qui|v
a|a|v
richesse|richesse|v
##|##|v
ou|ou|v
soit|soit|v
gentilz|gentilz|v
ou|ou|v
soit|soit|v
villains|villains|v
##|##|v
amour|amour|v
tend|tend|v
mais|mais|v
par_tout|par_tout|v
ses|ses|v
mains|mains|v
##|##|v
c’|c’|v
ilz|ilz|v
est|est|v
villain|villain|v
cuvers|cuvers|v
prouvés|prouvés|v
##|##|v
mais_que|mais_que|v
il|il|v
ait|ait|v
deniers|deniers|v
assés|assés|v
##|##|v
or|or|v
est|est|v
servis|servis|v
et|et|v
recheüs|recheüs|v
##|##|v
car|car|v
il|il|v
ne|ne|v
scet|scet|v
ne|ne|v
il|il|v
ne|ne|v
voit|voit|v
##|##|v
comment|comment|v
ly|ly|v
avoir|avoir|v
le|le|v
decoipt|decoipt|v
##|##|v
quant|quant|v
le|le|v
conquiert|conquiert|v
sa|sa|v
joye|joye|v
vaine|vaine|v
##|##|v
et|et|v
quant|quant|v
le|le|v
pert|pert|v
doulour|doulour|v
certaine|certaine|v
##|##|v
ne|ne|v
peult|peult|v
pas|pas|v
garder|garder|v
longuement|longuement|v
##|##|v
qu’|qu’|v
il|il|v
ne|ne|v
le|le|v
perde|perde|v
ou|ou|v
qui|qui|v
ne|ne|v
le|le|v
despend|despend|v
##|##|v
avoir|avoir|v
est|est|v
perdu|perdu|v
mainte|mainte|v
part|part|v
##|##|v
avers|avers|v
homs|homs|v
n’|n’|v
ert|ert|v
ja|ja|v
sans|sans|v
regart|regart|v
##|##|v
qui|qui|v
pert|pert|v
en|en|v
terre|terre|v
ou|ou|v
pert|pert|v
en|en|v
mer|mer|v
